transaction_id,user_id,age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label
TXN00106,U00106,21,Other,4.32,1.58,3.21,4.68,6.65,100,200,6.06,High,No,Mild,0
TXN00107,U00107,28,Male,4.36,0.88,2.57,2.17,4.94,69,130,6.13,Medium,No,Mild,0
TXN00108,U00108,19,Other,6.32,2.08,4.18,5.88,3.31,242,194,7.78,High,Yes,Moderate,1
TXN00109,U00109,24,Male,5.89,3.12,0.6,0.84,4.97,250,102,8.85,Low,Yes,,0
TXN00110,U00110,32,Male,11.92,3.38,4.84,2.5,6.23,224,194,14.36,High,Yes,Severe,1
TXN00111,U00111,28,Female,3.85,4.23,3.54,4.48,5.05,279,128,5.18,High,Yes,Severe,1
TXN00112,U00112,30,Other,4.16,4.4,2.74,3.57,5.0,209,122,6.34,High,Yes,Severe,1
TXN00113,U00113,29,Male,3.16,2.2,4.6,2.38,7.15,104,97,6.16,Low,Yes,Mild,0
TXN00114,U00114,34,Male,9.94,5.09,5.13,0.71,4.42,286,223,10.77,Medium,Yes,Moderate,1
TXN00115,U00115,23,Female,9.49,0.74,3.06,4.46,7.26,246,137,11.87,Medium,Yes,Moderate,1
TXN00116,U00116,33,Male,11.14,1.57,4.31,3.64,4.88,286,137,13.59,High,No,Moderate,1
TXN00117,U00117,22,Female,10.86,0.79,3.52,2.54,7.1,272,197,13.49,Medium,Yes,Moderate,1
TXN00118,U00118,32,Other,11.15,1.31,4.15,5.71,3.1,240,179,13.98,Medium,Yes,Severe,1
TXN00119,U00119,29,Female,5.12,5.97,3.9,0.66,6.29,339,175,7.6,Low,Yes,Severe,1
TXN00120,U00120,22,Female,9.83,3.08,4.06,5.48,3.0,145,103,11.7,High,No,Moderate,1
TXN00121,U00121,25,Female,5.71,0.76,1.68,4.87,6.56,48,142,7.7,Low,Yes,,0
TXN00122,U00122,31,Female,3.01,2.44,3.08,1.53,6.71,189,132,3.68,High,Yes,Mild,0
TXN00123,U00123,19,Male,8.72,5.9,3.41,0.59,5.65,213,151,11.05,High,Yes,Severe,1
TXN00124,U00124,19,Male,6.17,2.36,4.17,5.07,5.98,268,187,8.25,Low,Yes,Moderate,1
TXN00125,U00125,27,Female,4.81,4.85,5.94,2.24,3.5,226,229,6.49,Low,Yes,Severe,1
TXN00126,U00126,19,Female,10.79,2.33,2.1,2.52,6.9,280,177,13.53,Medium,No,Moderate,1
TXN00127,U00127,33,Male,6.31,4.89,3.47,0.95,4.01,235,244,9.3,Low,No,Severe,1
TXN00128,U00128,20,Female,5.95,2.13,2.58,4.45,4.45,168,129,7.57,High,No,Mild,0
TXN00129,U00129,19,Male,3.68,4.01,3.05,4.91,5.96,97,101,6.3,High,No,Moderate,1
TXN00130,U00130,20,Other,5.12,4.05,3.05,5.72,3.05,129,180,7.99,Medium,No,Moderate,1
TXN00131,U00131,22,Female,7.77,2.69,4.2,1.87,3.41,278,112,9.52,Medium,Yes,Moderate,1
TXN00132,U00132,32,Other,4.93,3.87,2.78,5.99,5.4,54,33,6.56,High,No,,0
TXN00133,U00133,28,Male,9.01,4.4,3.8,2.1,4.25,130,228,9.95,Medium,Yes,Moderate,1
TXN00134,U00134,22,Female,5.13,3.22,2.24,3.65,5.8,196,73,7.16,Low,Yes,Mild,0
TXN00135,U00135,33,Other,7.73,4.73,4.89,0.91,7.28,254,83,9.35,High,No,Moderate,1
TXN00136,U00136,23,Female,9.91,1.21,3.61,5.28,6.64,222,104,11.17,Low,No,Moderate,1
TXN00137,U00137,34,Other,11.05,5.15,2.6,3.99,5.38,122,225,12.31,High,Yes,Moderate,1
TXN00138,U00138,22,Other,4.54,3.93,3.61,2.36,8.66,30,22,5.24,High,No,,0
TXN00139,U00139,31,Female,8.56,0.67,5.96,3.5,4.99,202,213,9.67,High,No,Severe,1
TXN00140,U00140,20,Male,9.2,1.37,4.06,3.05,3.63,161,170,11.85,Medium,No,Severe,1
TXN00141,U00141,29,Male,7.63,1.08,1.77,1.17,5.72,91,64,8.26,Medium,No,Mild,0
TXN00142,U00142,28,Female,11.4,4.47,2.36,1.38,7.38,209,192,14.1,Medium,Yes,Moderate,1
TXN00143,U00143,34,Male,7.12,1.82,3.93,0.77,4.17,242,185,8.33,Low,Yes,Moderate,1
TXN00144,U00144,26,Other,9.55,4.7,3.86,2.7,4.67,174,182,11.43,Low,No,Severe,1
TXN00145,U00145,26,Other,10.43,3.93,4.04,1.21,3.34,185,151,12.32,Medium,Yes,Moderate,1
TXN00146,U00146,34,Other,6.61,0.72,1.76,4.42,6.52,222,181,7.48,High,Yes,Moderate,1
TXN00147,U00147,28,Male,4.46,5.95,5.36,2.15,3.61,337,220,6.29,High,No,Severe,1
TXN00148,U00148,29,Other,5.98,1.1,1.67,2.19,8.54,243,176,6.55,Medium,No,,0
TXN00149,U00149,19,Male,8.25,1.44,4.12,3.91,6.69,127,127,8.83,High,Yes,Moderate,1
TXN00150,U00150,32,Other,5.82,1.33,3.56,2.76,7.19,175,55,8.08,High,Yes,Mild,0
TXN00151,U00151,33,Male,7.73,2.23,1.49,5.52,5.24,145,204,10.24,Medium,No,Mild,0
TXN00152,U00152,26,Male,8.02,1.74,6.29,2.14,3.4,178,215,9.31,Medium,No,Severe,1
TXN00153,U00153,35,Female,6.42,5.89,5.67,5.75,5.72,199,100,7.64,High,Yes,Severe,1
TXN00154,U00154,26,Male,9.73,1.68,4.91,1.99,5.43,159,100,10.5,High,Yes,Moderate,1
TXN00155,U00155,34,Other,5.03,1.78,1.2,2.32,5.83,229,75,5.54,High,Yes,Mild,0
TXN00156,U00156,33,Female,7.3,1.6,4.66,2.27,6.61,251,62,9.43,Low,Yes,Mild,0
TXN00157,U00157,23,Female,11.41,0.7,4.94,4.83,3.74,281,139,14.1,Low,No,Moderate,1
TXN00158,U00158,27,Other,7.09,4.03,3.7,5.39,3.5,219,184,8.27,Low,No,Moderate,1
TXN00159,U00159,32,Other,8.83,4.45,2.46,2.35,3.43,297,139,9.77,High,No,Severe,1
TXN00160,U00160,28,Female,3.78,4.18,3.14,1.27,3.56,188,91,4.93,Low,No,Severe,1
TXN00161,U00161,27,Other,8.24,3.65,3.45,2.48,3.16,295,120,9.9,Low,No,Severe,1
TXN00162,U00162,21,Other,8.75,5.67,3.87,1.71,6.41,247,129,10.39,High,No,Severe,1
TXN00163,U00163,35,Male,11.22,4.67,5.61,5.04,5.53,299,242,13.9,Low,No,Severe,1
TXN00164,U00164,21,Male,3.56,3.51,2.82,3.65,4.37,138,173,5.16,High,Yes,Mild,0
TXN00165,U00165,34,Female,7.01,0.81,2.13,2.78,5.44,233,183,9.19,Medium,Yes,Moderate,1
TXN00166,U00166,18,Female,9.71,3.68,2.58,2.39,3.0,140,107,12.68,Medium,Yes,Severe,1
TXN00167,U00167,23,Other,9.92,4.71,5.51,4.05,4.79,318,162,11.54,Medium,No,Moderate,1
TXN00168,U00168,35,Other,4.2,5.23,2.87,5.96,3.87,157,147,6.79,Low,No,Severe,1
TXN00169,U00169,35,Male,6.82,2.59,1.72,3.03,4.4,103,68,7.4,High,No,Mild,0
TXN00170,U00170,24,Male,3.61,3.77,1.79,4.2,8.42,82,26,5.12,Low,Yes,,0
TXN00171,U00171,34,Female,11.94,1.79,6.07,3.67,4.7,322,172,13.03,Low,Yes,Severe,1
TXN00172,U00172,26,Other,3.55,5.72,5.92,5.51,4.92,234,232,5.29,Medium,No,Severe,1
TXN00173,U00173,31,Other,6.67,2.15,1.54,3.46,4.78,112,116,9.31,Low,No,Mild,0
TXN00174,U00174,31,Male,11.71,3.57,2.14,1.84,3.82,255,85,14.52,Medium,Yes,Moderate,1
TXN00175,U00175,26,Male,6.39,3.83,1.76,0.9,6.52,240,208,7.43,Low,No,Moderate,1
TXN00176,U00176,24,Female,11.43,5.79,2.87,6.0,4.26,187,244,13.69,Medium,Yes,Severe,1
TXN00177,U00177,30,Male,7.2,4.07,3.63,2.48,6.07,244,115,9.71,High,No,Severe,1
TXN00178,U00178,29,Male,5.82,0.75,3.46,4.58,4.57,161,164,7.77,Medium,No,,0
TXN00179,U00179,28,Male,5.07,3.63,1.78,3.53,7.95,141,105,7.48,Medium,No,Mild,0
TXN00180,U00180,29,Female,4.52,4.46,3.55,5.54,5.34,254,80,6.33,Low,Yes,Moderate,1
TXN00181,U00181,22,Male,10.58,1.77,5.23,0.55,4.38,220,105,12.62,High,No,Severe,1
TXN00182,U00182,18,Male,7.79,2.76,0.87,4.47,6.11,128,44,9.55,High,No,Mild,0
TXN00183,U00183,21,Other,7.72,1.83,3.28,1.89,5.29,258,141,8.42,Medium,No,Mild,0
TXN00184,U00184,25,Other,5.7,5.05,1.92,5.95,5.82,98,88,7.21,Medium,No,Moderate,1
TXN00185,U00185,18,Other,9.33,0.95,4.98,4.05,4.39,309,89,12.07,Low,Yes,Moderate,1
TXN00186,U00186,33,Other,5.44,5.58,4.34,2.04,5.34,258,73,6.39,Medium,Yes,Moderate,1
TXN00187,U00187,22,Other,9.77,4.42,3.99,0.92,3.0,186,235,12.36,Medium,No,Severe,1
TXN00188,U00188,22,Female,10.11,4.29,2.71,4.6,3.66,150,201,11.19,Low,No,Severe,1
TXN00189,U00189,18,Other,8.71,4.81,3.4,1.75,5.39,186,175,9.67,High,No,Moderate,1
TXN00190,U00190,27,Male,10.18,4.42,1.93,1.35,6.1,252,104,12.53,Medium,No,Moderate,1
TXN00191,U00191,18,Male,11.49,2.95,4.65,1.06,3.29,200,179,13.38,High,No,Moderate,1
TXN00192,U00192,20,Other,6.19,1.01,3.19,2.28,5.43,129,145,7.66,Low,Yes,Mild,0
TXN00193,U00193,30,Male,4.53,1.98,1.87,1.3,4.45,125,147,5.78,Low,No,Mild,0
TXN00194,U00194,33,Female,8.34,1.58,2.83,2.18,6.37,210,248,9.79,Medium,No,Severe,1
TXN00195,U00195,22,Female,5.7,3.82,2.78,3.13,5.3,121,96,6.93,High,No,,0
TXN00196,U00196,30,Other,5.52,4.82,3.86,5.63,3.0,264,136,7.72,High,Yes,Severe,1
TXN00197,U00197,24,Other,6.95,2.1,4.37,5.0,6.48,194,192,7.8,Medium,Yes,Moderate,1
TXN00198,U00198,22,Female,9.44,4.84,1.9,5.95,5.06,192,201,11.21,High,No,Moderate,1
TXN00199,U00199,35,Female,8.34,5.53,2.84,1.87,5.09,167,255,10.37,High,No,Severe,1
TXN00200,U00200,21,Female,3.09,1.92,2.04,3.35,7.11,167,71,4.7,Medium,No,,0
TXN00201,U00201,18,Other,7.34,2.12,4.48,0.97,7.44,241,76,8.71,Medium,No,Mild,0
TXN00202,U00202,33,Other,6.13,1.04,3.69,2.99,4.0,66,69,6.69,Medium,Yes,Mild,0
TXN00203,U00203,25,Male,7.64,3.54,2.92,2.85,4.98,294,168,9.71,Low,No,Moderate,1
TXN00204,U00204,24,Female,7.05,2.86,1.62,1.68,4.15,270,81,8.99,High,Yes,Moderate,1
TXN00205,U00205,24,Female,7.12,1.94,5.05,3.4,5.78,242,164,9.15,High,Yes,Moderate,1
TXN00206,U00206,32,Male,8.56,4.98,4.42,2.14,5.67,111,99,9.84,Low,No,Moderate,1
TXN00207,U00207,29,Female,9.24,3.31,3.27,1.26,4.63,137,189,11.33,High,Yes,Moderate,1
TXN00208,U00208,27,Other,4.26,2.23,2.6,0.79,5.32,57,164,5.1,Medium,No,Mild,0
TXN00209,U00209,33,Male,6.74,5.12,4.35,0.95,3.0,319,146,7.97,Medium,Yes,Severe,1
TXN00210,U00210,32,Other,8.09,4.75,4.38,3.31,4.68,193,229,10.65,Medium,Yes,Severe,1
TXN00211,U00211,24,Male,11.91,1.06,4.92,4.63,4.24,98,180,13.07,Low,No,Moderate,1
TXN00212,U00212,24,Other,10.3,3.73,3.0,4.41,5.75,132,222,11.15,Low,Yes,Moderate,1
TXN00213,U00213,29,Female,7.79,3.78,1.47,5.88,5.02,201,108,10.67,High,Yes,Mild,0
TXN00214,U00214,19,Male,11.93,5.27,2.91,5.26,3.22,307,172,14.5,High,No,Severe,1
TXN00215,U00215,26,Female,8.65,2.56,2.7,4.87,5.56,228,221,11.02,High,No,Severe,1
TXN00216,U00216,28,Female,8.24,5.28,4.99,1.01,7.27,252,156,10.87,High,No,Moderate,1
TXN00217,U00217,24,Male,7.45,2.28,1.93,3.51,4.29,273,164,9.92,High,Yes,Mild,0
TXN00218,U00218,32,Female,3.15,5.61,2.23,3.01,7.36,199,116,6.14,Low,No,Moderate,1
TXN00219,U00219,20,Other,8.89,1.88,3.89,5.47,3.0,226,250,10.15,High,Yes,Severe,1
TXN00220,U00220,20,Female,9.33,0.51,3.51,1.23,3.92,264,178,9.85,High,No,Moderate,1
TXN00221,U00221,22,Other,7.3,1.76,1.16,4.93,4.16,149,116,8.14,Low,Yes,Mild,0
TXN00222,U00222,18,Male,8.49,1.4,3.0,1.67,6.27,195,222,10.71,Low,Yes,Moderate,1
TXN00223,U00223,21,Other,8.31,2.61,5.45,2.23,3.53,160,230,9.02,High,No,Moderate,1
TXN00224,U00224,27,Other,4.85,3.84,1.55,2.65,6.61,255,101,6.59,Low,Yes,Mild,0
TXN00225,U00225,20,Male,7.75,5.88,6.35,5.64,3.0,345,235,9.3,High,Yes,Severe,1
TXN00226,U00226,18,Other,8.29,0.58,3.26,5.57,6.37,226,219,9.51,High,No,Severe,1
TXN00227,U00227,30,Other,3.74,3.45,3.26,2.03,5.09,185,92,6.68,Low,No,Mild,0
TXN00228,U00228,20,Other,5.79,2.91,4.61,1.81,4.8,166,69,7.42,High,Yes,Mild,0
TXN00229,U00229,23,Female,4.07,4.39,4.41,1.4,7.19,223,197,6.53,High,No,Moderate,1
TXN00230,U00230,22,Female,9.75,5.3,4.53,1.15,6.95,175,174,10.93,Low,No,Moderate,1
TXN00231,U00231,32,Other,7.6,0.8,4.24,1.42,4.41,252,66,10.34,High,Yes,Mild,0
TXN00232,U00232,34,Female,3.02,5.22,1.65,0.75,4.54,128,110,5.85,Low,No,Moderate,1
TXN00233,U00233,25,Male,6.75,4.46,3.49,0.93,3.78,253,103,7.7,High,Yes,Severe,1
TXN00234,U00234,32,Female,10.79,4.75,3.64,0.98,4.16,219,141,12.02,Medium,Yes,Severe,1
TXN00235,U00235,33,Other,11.98,4.77,5.33,3.51,5.68,163,91,14.81,Low,Yes,Severe,1
TXN00236,U00236,18,Male,11.56,0.51,5.03,5.17,5.37,151,142,13.38,Low,No,Severe,1
TXN00237,U00237,22,Other,9.4,1.01,5.29,5.44,5.24,269,160,11.05,High,Yes,Moderate,1
TXN00238,U00238,22,Female,8.73,2.67,4.77,0.84,5.08,158,150,9.96,Medium,No,Severe,1
TXN00239,U00239,32,Male,5.45,0.91,1.61,4.79,6.33,94,67,6.36,Medium,No,Mild,0
TXN00240,U00240,35,Female,6.22,4.74,3.41,3.05,6.74,113,105,8.74,Medium,Yes,Moderate,1
TXN00241,U00241,22,Male,3.82,1.87,1.42,3.32,7.55,86,59,4.4,Medium,No,,0
TXN00242,U00242,32,Other,3.92,4.87,2.09,0.84,6.41,146,98,4.92,Medium,No,Moderate,1
TXN00243,U00243,26,Female,11.26,0.91,5.59,1.59,5.81,297,97,11.99,Medium,Yes,Moderate,1
TXN00244,U00244,19,Female,4.51,3.66,4.09,2.67,3.83,229,149,5.44,Low,Yes,Mild,0
TXN00245,U00245,32,Male,10.95,0.69,4.88,1.85,3.43,230,230,12.65,Low,No,Severe,1
TXN00246,U00246,31,Other,4.8,5.37,4.5,3.97,5.71,328,94,7.77,High,No,Severe,1
TXN00247,U00247,33,Other,6.1,3.61,2.89,1.99,3.02,242,121,6.67,Medium,Yes,Moderate,1
TXN00248,U00248,29,Other,9.9,6.0,5.5,1.05,5.86,158,201,12.44,High,Yes,Moderate,1
TXN00249,U00249,30,Other,6.19,5.12,4.98,1.47,5.57,296,156,8.97,Low,No,Moderate,1
TXN00250,U00250,24,Other,10.53,4.96,5.48,3.48,3.69,99,88,11.17,High,Yes,Moderate,1
